id,twitter
1,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
2,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
3,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
4,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
5,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
6,@saladinMY 'Lepas ni jangan marah Tabung Haji'  
7,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
8,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
9,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
10,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
11,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
12,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
13,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
14,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
15,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
16,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
17,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
18,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
19,"RT @aymeemin: Tweet pasal Khazanah bagi pinjaman tak berbayar RM150j kat FashionValet tu kenapa dah tak ada? I think selain Felda, Tabung H…"
20,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
21,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
22,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
23,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
24,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
25,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
26,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
